SMARCA4,Vogelstein Point mutation
SMO,Vogelstein Point mutation
SOCS1,Vogelstein Point mutation
SOX9,Vogelstein Point mutation
SPOP,Vogelstein Point mutation
SRSF2,Vogelstein Point mutation
STAG2,Vogelstein Point mutation
STK11,Vogelstein Point mutation
TET2,Vogelstein Point mutation
TNFAIP3,Vogelstein Point mutation
TRAF7,Vogelstein Point mutation
TSC1,Vogelstein Point mutation
TSHR,Vogelstein Point mutation
U2AF1,Vogelstein Point mutation
VHL,Vogelstein Point mutation
WT1,Vogelstein Point mutation
CCND1,Vogelstein CNV
CDKN2C,Vogelstein CNV
IKZF1,Vogelstein CNV
LMO1,Vogelstein CNV
MDM2,Vogelstein CNV
MDM4,Vogelstein CNV
MYCL1,Vogelstein CNV
MYCN,Vogelstein CNV
NCOA3,Vogelstein CNV
NKX2-1,Vogelstein CNV
AKT2,Pancreas Panel
CDK4,Pancreas Panel
CDK6,Pancreas Panel
ERBB4,Pancreas Panel
FGFR1,Pancreas Panel
FGFR4,Pancreas Panel
IGF2R,Pancreas Panel
KDR,Pancreas Panel
MAML1,Pancreas Panel
KMT2A,Pancreas Panel
KMT2D,Pancreas Panel
NOTCH3,Pancreas Panel
NOTCH4,Pancreas Panel
PALB2,Pancreas Panel
PDGFRB,Pancreas Panel
PMS2,Pancreas Panel
PRSS1,Pancreas Panel
ROS1,Pancreas Panel
SMAD3,Pancreas Panel
TGFBR2,Pancreas Panel
TPMT,Pancreas Panel
TSC2,Pancreas Panel
ABI1,Cancer Gene Census
ABL2,Cancer Gene Census
ACSL3,Cancer Gene Census
CASC5,Cancer Gene Census
MLLT11,Cancer Gene Census
NCKIPSD,Cancer Gene Census
AFF4,Cancer Gene Census
AKAP9,Cancer Gene Census
ALDH2,Cancer Gene Census
RNF213,Cancer Gene Census
ARHGEF12,Cancer Gene Census
RHOH,Cancer Gene Census
ARNT,Cancer Gene Census
ASPSCR1,Cancer Gene Census
ATF1,Cancer Gene Census
ATIC,Cancer Gene Census
ATP1A1,Cancer Gene Census
ATP2B3,Cancer Gene Census
BCL10,Cancer Gene Census
BCL11A,Cancer Gene Census
BCL11B,Cancer Gene Census
BCL3,Cancer Gene Census
BCL5,Cancer Gene Census
BCL6,Cancer Gene Census
BCL7A,Cancer Gene Census
BCL9,Cancer Gene Census
BCR,Cancer Gene Census
FLCN,Cancer Gene Census
BIRC3,Cancer Gene Census
BLM,Cancer Gene Census
BMPR1A,Cancer Gene Census
BRD3,Cancer Gene Census
BRD4,Cancer Gene Census
BRIP1,Cancer Gene Census
BTG1,Cancer Gene Census
BUB1B,Cancer Gene Census
C12orf9,Cancer Gene Census
HMGN2P46,Cancer Gene Census
NUTM1,Cancer Gene Census
RMI2,Cancer Gene Census
C2orf44,Cancer Gene Census
CACNA1D,Cancer Gene Census
CALR,Cancer Gene Census
CAMTA1,Cancer Gene Census
CANT1,Cancer Gene Census
CARS,Cancer Gene Census
RUNX1T1,Cancer Gene Census
CBFA2T3,Cancer Gene Census
CBFB,Cancer Gene Census
CBLB,Cancer Gene Census
CBLC,Cancer Gene Census
CCDC6,Cancer Gene Census
CCNB1IP1,Cancer Gene Census
CCND2,Cancer Gene Census
CCND3,Cancer Gene Census
PDCD1LG2,Cancer Gene Census
CD274,Cancer Gene Census
CD74,Cancer Gene Census
CD79A,Cancer Gene Census
CD79B,Cancer Gene Census
CDH11,Cancer Gene Census
CDX2,Cancer Gene Census
CNTRL,Cancer Gene Census
CHCHD7,Cancer Gene Census
CHEK2,Cancer Gene Census
CHIC2,Cancer Gene Census
CHN1,Cancer Gene Census
CIITA,Cancer Gene Census
CLTC,Cancer Gene Census
CLTCL1,Cancer Gene Census
ACKR3,Cancer Gene Census
CNOT3,Cancer Gene Census
COL1A1,Cancer Gene Census
KLF6,Cancer Gene Census
COX6C,Cancer Gene Census
CREB1,Cancer Gene Census
CREB3L1,Cancer Gene Census
CREB3L2,Cancer Gene Census
CRTC3,Cancer Gene Census
CSF3R,Cancer Gene Census
DDB2,Cancer Gene Census
DDIT3,Cancer Gene Census
DDX10,Cancer Gene Census
DDX5,Cancer Gene Census
DDX6,Cancer Gene Census
DEK,Cancer Gene Census
DICER1,Cancer Gene Census
DNM2,Cancer Gene Census
DUX4,Cancer Gene Census
EBF1,Cancer Gene Census
ECT2L,Cancer Gene Census
EIF4A2,Cancer Gene Census
ELF4,Cancer Gene Census
ELK4,Cancer Gene Census
ERC1,Cancer Gene Census
ELL,Cancer Gene Census
ELN,Cancer Gene Census
EML4,Cancer Gene Census
EPS15,Cancer Gene Census
